(venv) root@DESKTOP-5QNNGRV:/mnt/f/projects/2021-MAI-Backend-A-LIPATOV/library_site# coverage report
Name                                          Stmts   Miss  Cover
-----------------------------------------------------------------
authors/__init__.py                               0      0   100%
authors/admin.py                                  3      0   100%
authors/apps.py                                   3      3     0%
authors/migrations/0001_initial.py                6      0   100%
authors/migrations/__init__.py                    0      0   100%
authors/models.py                                12      1    92%
authors/serializers.py                           12      1    92%
authors/tests.py                                 44      0   100%
authors/urls.py                                   6      6     0%
authors/views.py                                  7      0   100%
books/__init__.py                                 0      0   100%
books/admin.py                                    3      0   100%
books/apps.py                                     3      3     0%
books/book_factory.py                            15      0   100%
books/migrations/0001_initial.py                  7      0   100%
books/migrations/__init__.py                      0      0   100%
books/models.py                                  18      1    94%
books/serializers.py                             46      8    83%
books/t_data.py                                  15      0   100%
books/test_models.py                             57      0   100%
books/views.py                                   18      8    56%
genres/__init__.py                                0      0   100%
genres/admin.py                                   3      0   100%
genres/apps.py                                    3      3     0%
genres/migrations/0001_initial.py                 5      0   100%
genres/migrations/__init__.py                     0      0   100%
genres/models.py                                  8      1    88%
genres/serializers.py                            14      2    86%
genres/tests.py                                  39      6    85%
genres/views.py                                   6      0   100%
library_site/__init__.py                          0      0   100%
library_site/asgi.py                              4      4     0%
library_site/settings.py                         22      0   100%
library_site/urls.py                             21      1    95%
library_site/wsgi.py                              4      4     0%
manage.py                                        12      2    83%
upload/__init__.py                                0      0   100%
upload/admin.py                                   3      0   100%
upload/apps.py                                    3      3     0%
upload/migrations/0001_initial.py                 6      0   100%
upload/migrations/__init__.py                     0      0   100%
upload/models.py                                 10      2    80%
upload/serializers.py                            10      3    70%
upload/tests.py                                   1      0   100%
upload/views.py                                  17      6    65%
uploadS3_storage/__init__.py                      0      0   100%
uploadS3_storage/admin.py                         3      0   100%
uploadS3_storage/apps.py                          3      3     0%
uploadS3_storage/migrations/0001_initial.py       7      0   100%
uploadS3_storage/migrations/__init__.py           0      0   100%
uploadS3_storage/models.py                       10      1    90%
uploadS3_storage/serializers.py                  13      3    77%
uploadS3_storage/tests.py                         1      0   100%
uploadS3_storage/views.py                        35     19    46%
-----------------------------------------------------------------
TOTAL                                           538     94    83%
